id,vpiddt,vpidprev,nm
14654811000001105,2008-11-04,331354003,Cetomacrogol cream (Formula A)
36056811000001103,2018-10-29,332001006,Hydrocortisone butyrate 0.1% scalp lotion
36566211000001106,2019-01-17,332917003,Miconazole 2% powder
14611511000001104,2008-10-30,330177003,Methyl salicylate 50% ointment
36020911000001106,2018-10-29,333336005,Povidone-Iodine 10% antiseptic solution
39721711000001105,2021-05-26,333338006,Povidone-Iodine 10% paint
36021211000001108,2018-10-29,333333002,Povidone-Iodine 4% skin cleanser solution
332258000,2006-08-16,3818111000001109,Aluminium oxide 38% paste
36015511000001101,2018-10-29,330780006,Phenylephrine 0.12% eye drops
407809004,2006-08-16,3818711000001105,Clindamycin 1% gel
36136311000001102,2018-11-05,333199007,Chlorhexidine gluconate 5% solution
39706411000001104,2021-05-26,332088003,Coal tar 40% bath emulsion
36089711000001105,2018-10-31,332094006,Coal tar solution 10% cream
14611611000001100,2008-10-30,332176002,Salicylic acid 2% ointment
36098411000001106,2018-10-31,331907005,Diflucortolone 0.3% oily cream
36017511000001105,2018-10-29,353113002,"Polymyxin B 10,000units/ml / Trimethoprim 1mg/ml eye drops"
14611811000001101,2008-10-30,333303009,Hydrogen peroxide 6% solution
36020611000001100,2018-10-29,333330004,Povidone-Iodine 1.14% dry powder spray
14611911000001106,2008-10-30,332451008,Podophyllin compound paint
35915011000001104,2018-10-19,332220004,Tazarotene 0.1% gel
35915811000001105,2018-10-19,318778006,Terazosin 2mg tablets and Terazosin 1mg tablets
14612011000001104,2008-10-30,332412003,Salicylic acid 12% collodion
36035511000001107,2018-10-29,324521006,"Metronidazole 400mg tablets and Nystatin 100,000unit pessaries"
35369811000001100,2018-04-18,324934004,Chloroquine phosphate 250mg tablets and Proguanil 100mg tablets
330623003,2005-08-09,3947611000001102,Carbachol 3% eye drops
36061911000001105,2018-10-30,321984005,Generic Dutonin tablets treatment initiation pack
36135611000001102,2018-11-05,333224002,Chlorhexidine 1% powder
408597001,2005-08-15,3983311000001107,Ganciclovir 0.15% eye gel
14612211000001109,2008-10-30,332170008,Ichthammol 10% ointment
333135004,2005-08-08,4008811000001103,Dibrompropamidine 0.15% cream
14612411000001108,2008-10-30,317571000,Liquid paraffin oral emulsion
35369911000001105,2018-04-18,322197005,Granisetron 200micrograms/ml oral solution sugar free
14612511000001107,2008-10-30,332177006,Zinc and Salicylic acid paste
332453006,2005-10-06,4072311000001103,Salicylic acid 25% / Podophyllum resin 20% ointment
36053811000001107,2018-10-29,407864007,Hamamelis water 13% eye drops
14612611000001106,2008-10-30,317338003,Kaolin mixture
39710711000001105,2021-05-26,332423004,Salicylic acid 17% paint
14612811000001105,2008-10-30,331398003,Zinc cream
14612911000001100,2008-10-30,331399006,Zinc ointment
14613011000001108,2008-10-30,331374005,Simple ointment
36133611000001101,2018-11-05,333050005,Carbaryl 1% aqueous liquid
14613111000001109,2008-10-30,331388009,Zinc compound paste
14613211000001103,2008-10-30,333120000,Proflavine 0.1% cream
35933711000001105,2018-10-22,326070002,Quinagolide 50microgram tablets and Quinagolide 25microgram tablets
14613311000001106,2008-10-30,332171007,Zinc and Ichthammol cream
14613411000001104,2008-10-30,333369005,Soap liniment methylated
14613511000001100,2008-10-30,331368005,Hydrous wool fat
14613611000001101,2008-10-30,331353009,Buffered cream
14613711000001105,2008-10-30,330176007,Methyl salicylate 25% liniment
6259002,2005-08-15,4224911000001104,Hydrogen peroxide 3% solution
14613811000001102,2008-10-30,331355002,Cetomacrogol cream (Formula B)
14613911000001107,2008-10-30,331414004,Coconut oil
39720711000001102,2021-05-26,325004002,Pentamidine 300mg/5ml nebuliser liquid
374906008,2005-08-08,4427311000001105,Becaplermin 0.01% gel
133141000001106,2022-07-29,332081009,Coal tar prepared 1% lotion
36061711000001108,2018-10-30,408081004,Gabapentin 600mg tablets and Gabapentin 300mg capsules
36066211000001109,2018-10-30,408144001,Evening primrose oil 20% cream
408157009,2007-01-17,408156000,Methyl aminolevulinate 16% cream
36021311000001100,2018-10-29,333332007,Povidone-Iodine 7.5% surgical scrub solution
36036211000001103,2018-10-29,332755003,Minoxidil 2% solution
36036311000001106,2018-10-29,332757006,Minoxidil 5% solution
14614311000001108,2008-10-30,329138004,Purified water
36020811000001101,2018-10-29,333337001,Povidone-Iodine 10% alcoholic solution
39709511000001105,2021-05-26,320180009,Salbutamol 5mg/ml nebuliser liquid
14614411000001101,2008-10-30,330174005,Kaolin poultices
36071911000001100,2018-10-30,420500000,Emulsifying wax
14614611000001103,2008-10-30,333320008,Iodine solution strong
14614711000001107,2008-10-30,316941007,Magnesium carbonate mixture aromatic
14614811000001104,2008-10-30,331391009,Flexible collodion methylated
14615011000001109,2008-10-30,331375006,Wool alcohols ointment
36051211000001107,2018-10-29,329456009,Gentian acid mixture
36127911000001101,2018-11-05,322486001,Morphine and Cocaine elixir
34820911000001103,2017-10-05,347900004,Sodium chloride compound mouthwash
34194511000001100,2017-03-13,316949009,Sodium bicarbonate mixture paediatric
14615311000001107,2008-10-30,330178008,Turpentine liniment
408140005,2005-08-09,5376511000001102,Benzoyl peroxide 5% / Clindamycin 1% gel
407071001,2005-08-09,5708111000001101,Epinastine 500micrograms/ml eye drops
14615511000001101,2008-10-30,346523002,Industrial methylated spirit 99%
38752611000001105,2020-07-16,407845001,Oxcarbazepine 60mg/ml oral suspension sugar free
38894611000001106,2020-08-19,410946005,Fluconazole 150mg capsule and Clotrimazole 2% cream
377040003,2005-08-15,7425811000001101,Hydroquinone 4% cream
39691811000001104,2021-05-26,414073000,Eflornithine 11.5% cream
414695000,2005-08-19,8013711000001104,Miconazole 2% / Fluprednidene 0.1% cream
39699411000001100,2021-05-26,331473003,Chamomile extract 10.5% ointment
39710411000001104,2021-05-26,326233003,Econazole 150mg pessaries and Econazole 1% cream
27864611000001100,2014-10-06,370622000,Clindamycin 75mg/5ml oral solution
409467001,2005-08-10,8520311000001102,Gabapentin 250mg/5ml oral solution
376878007,2005-08-16,8561711000001104,Indometacin 25mg/5ml oral suspension
409197000,2005-08-19,8664311000001109,Metformin 500mg/5ml oral solution
416206000,2007-10-22,8669911000001106,Fosamprenavir 50mg/ml oral suspension
426016003,2007-11-15,8793011000001102,Diazepam 25mg/5ml oral solution
35926011000001103,2018-10-22,347233004,Sodium chloride 5% eye drops preservative free
375739006,2005-08-16,9409811000001101,Sodium chloride 5% eye drops
35925211000001102,2018-10-22,347232009,Sodium chloride 0.9% eye drops preservative free
347210000,2006-08-16,9406911000001102,Pilocarpine hydrochloride 8% eye drops
36016311000001102,2018-10-29,347209005,Pilocarpine hydrochloride 6% eye drops preservative free
36016211000001105,2018-10-29,347207007,Pilocarpine hydrochloride 4% eye drops preservative free
36016111000001104,2018-10-29,347204000,Pilocarpine hydrochloride 2% eye drops preservative free
347201008,2006-08-16,9406611000001108,Pilocarpine hydrochloride 0.25% eye drops
36044711000001100,2018-10-29,347161004,Hypromellose 0.3% eye drops preservative free
36094811000001100,2018-10-31,347119005,Dexamethasone 0.1% eye drops preservative free
35892111000001102,2018-10-17,347085009,Acetylcysteine 5% eye drops preservative free
35892011000001103,2018-10-17,347087001,Acetylcysteine 10% eye drops preservative free
347088006,2006-08-16,9410711000001104,Acetylcysteine 20% eye drops
424692003,2007-06-29,10064411000001105,Posaconazole 40mg/ml oral suspension
39716711000001108,2021-05-26,346521000,Industrial methylated spirit 70%
36125311000001105,2018-11-05,370276006,Midazolam 2mg/ml oral solution sugar free
417374006,2007-10-22,10675511000001108,Aripiprazole 1mg/ml oral solution
347243001,2010-10-13,11457311000001104,Trifluridine 1% eye drops
429995001,2008-11-06,13078511000001107,Prednisolone 10mg/5ml oral solution
432225008,2008-11-06,13078811000001105,Prednisolone 15mg/5ml oral suspension
416533002,2008-01-17,13078711000001102,Prednisolone 15mg/5ml oral solution
432224007,2008-11-06,13133211000001106,Prednisolone 5mg/5ml oral suspension
36134611000001103,2018-11-05,347109004,Cefuroxime 5% eye drops preservative free
412651007,2021-05-27,15857511000001104,Meloxicam 7.5mg/5ml oral suspension
36062911000001104,2018-10-30,347133005,Gentamicin 1.5% eye drops preservative free
36016011000001100,2018-10-29,347203006,Pilocarpine hydrochloride 1% eye drops preservative free
36015911000001108,2018-10-29,347202001,Pilocarpine hydrochloride 0.5% eye drops preservative free
704471008,2015-04-02,17646611000001105,Tafluprost 15micrograms/ml eye drops
375446003,2010-10-11,18043611000001102,Hydrocortisone 1% lotion
36049111000001100,2018-10-29,320988003,Ipecacuanha and Morphine mixture BP 1980
36056511000001101,2018-10-29,347156001,Homatropine 2% eye drops preservative free
36071411000001108,2018-10-30,347122007,Econazole 1% eye drops preservative free
36035911000001100,2018-10-29,347178008,Miconazole 1% eye drops preservative free
35904711000001103,2018-10-18,347098000,Atropine 1% eye drops preservative free
36056411000001100,2018-10-29,347155002,Homatropine 1% eye drops preservative free
36135411000001100,2018-11-05,347111008,Chloramphenicol 0.5% eye drops preservative free
784590000,2021-02-24,423074002,Fexofenadine 30mg/5ml oral suspension
133131000001104,2022-07-29,332092005,Coal tar extract 1% cream
35893011000001107,2018-10-17,376911008,Cefuroxime 1.5g/50ml infusion bags
35893111000001108,2018-10-17,376910009,Cefuroxime 750mg/50ml infusion bags
35902111000001107,2018-10-17,323736004,Amoxicillin 3g oral powder sachets sugar free
38897111000001108,2020-08-19,404179005,Ispaghula husk 3.5g effervescent granules sachets gluten free sugar free
36037911000001105,2018-10-29,317312003,Lansoprazole 30mg gastro-resistant granules sachets
36050711000001108,2018-10-29,317478009,Ispaghula husk 6g oral powder sachets gluten free sugar free
35924311000001106,2018-10-22,400425003,Sodium alginate 225mg/dose / Magnesium alginate 87.5mg/dose oral powder sachets sugar free
39698411000001108,2021-05-26,331152007,Carbenoxolone 1% granules 2g sachets
35445511000001100,2018-05-11,324584000,Generic Mictral granules 7g sachets
116081000001104,2022-07-29,444988004,Imiquimod 3.75% cream 250mg sachets
35368111000001100,2018-04-18,317607005,Glycerol 2g suppositories
35368211000001106,2018-04-18,317609008,Glycerol 4g suppositories
35368311000001103,2018-04-18,317608000,Glycerol 1g suppositories
35368411000001105,2018-04-18,317606001,Bisacodyl 5mg suppositories
35313311000001107,2018-04-03,329584002,Diclofenac 12.5mg suppositories
35936711000001103,2018-10-22,320132006,Salbutamol 200microgram inhalation powder blisters with device
35938011000001101,2018-10-22,320249009,Salmeterol 50microgram inhalation powder blisters
35936911000001101,2018-10-22,320133001,Salbutamol 400microgram inhalation powder blisters with device
35937811000001108,2018-10-22,320248001,Salmeterol 50microgram inhalation powder blisters with device
35936611000001107,2018-10-22,320134007,Salbutamol 200microgram inhalation powder blisters
35907611000001101,2018-10-19,320529004,Beclometasone 100microgram inhalation powder blisters
35907711000001105,2018-10-19,320527002,Beclometasone 100microgram inhalation powder blisters with device
35936811000001106,2018-10-22,320135008,Salbutamol 400microgram inhalation powder blisters
35908311000001107,2018-10-19,320528007,Beclometasone 200microgram inhalation powder blisters with device
35908211000001104,2018-10-19,320530009,Beclometasone 200microgram inhalation powder blisters
35909011000001104,2018-10-19,320487003,Beclometasone 400microgram inhalation powder blisters with device
35908911000001108,2018-10-19,320488008,Beclometasone 400microgram inhalation powder blisters
36151011000001106,2018-11-05,324882009,Zanamivir 5mg inhalation powder blisters with device
34779211000001102,2017-09-11,347575004,Antithrombin III 500unit powder and solvent for solution for infusion vials
35113811000001108,2018-02-08,407075005,Alefacept 7.5mg powder and solvent for solution for injection vials
35113711000001100,2018-02-08,407074009,Alefacept 15mg powder and solvent for solution for injection vials
34779311000001105,2017-09-11,376123003,Indocyanine green 25mg powder and solvent for solution for injection vials
35892611000001105,2018-10-17,384943002,Argatroban 250mg/2.5ml solution for infusion vials
35895111000001109,2018-10-17,356746005,"High Purity Factor IX 1,500unit powder and solvent for solution for injection vials"
39718311000001108,2021-05-26,400449000,Measles vaccine (live) powder and solvent for solution for injection vials
35893311000001105,2018-10-17,318626000,Esmolol 100mg/10ml solution for injection vials
39713711000001101,2021-05-26,356444007,Galactose 3g granules and solvent for suspension vials
35893911000001106,2018-10-17,359133006,Galactose 2.49g / Palmitic acid 2.5mg powder and solvent for suspension for injection 2.5g vials
35894011000001109,2018-10-17,359132001,Galactose 3.99g / Palmitic acid 4mg powder and solvent for suspension for injection 4g vials
35895511000001100,2018-10-17,353920005,Iotrolan 512.59mg/ml (Iodine 240mg/ml) solution for injection 10ml vials
35893611000001100,2018-10-17,406250005,Gadodiamide 0.5mmol/ml solution for injection 10ml vials
35893711000001109,2018-10-17,406251009,Gadodiamide 0.5mmol/ml solution for injection 15ml vials
35893811000001101,2018-10-17,406252002,Gadodiamide 0.5mmol/ml solution for injection 20ml vials
36090811000001105,2018-10-31,320906001,Colfosceril palmitate 108mg endotracheal powder vials and diluent
39719811000001106,2021-05-26,324592009,Noxytiolin 2.5g irrigation vials
35925811000001101,2018-10-22,400787009,Sodium chloride 0.9% solution for injection 5ml vials
35925511000001104,2018-10-22,400274004,Sodium chloride 0.9% solution for injection 10ml vials
35925611000001100,2018-10-22,400854001,Sodium chloride 0.9% solution for injection 20ml vials
36065711000001105,2018-10-30,420238002,Etanercept 50mg powder and solvent for solution for injection vials
36024111000001104,2018-10-29,409153004,Palonosetron 250micrograms/5ml solution for injection vials
35915611000001106,2018-10-19,134484006,"Tenecteplase 8,000unit powder and solvent for solution for injection vials"
39714811000001107,2021-05-26,407851006,Thyrotropin alfa 900microgram powder for solution for injection vials
36047211000001100,2018-10-29,412448008,Insulin glulisine 100units/ml solution for injection 10ml vials
36022211000001101,2018-10-29,317298002,Omeprazole 40mg powder and solvent for solution for injection vials
36022111000001107,2018-10-29,406323003,Oily phenol 5% solution for injection 25ml vials
34194311000001106,2017-03-13,329242009,"Vitamin A 100,000units/2ml solution for injection vials"
36041311000001102,2018-10-29,418495003,Mecasermin 40mg/4ml solution for injection vials
36034311000001100,2018-10-29,433520006,Methylnaltrexone bromide 12mg/0.6ml solution for injection vials
36026611000001103,2018-10-29,416935004,"Pegaspargase 3,750units/5ml solution for injection vials"
36049911000001102,2018-10-29,419002006,Iron sucrose 50mg/2.5ml solution for injection vials
36045511000001106,2018-10-29,374106009,Idarubicin 10mg/10ml solution for injection vials
36045711000001101,2018-10-29,374202004,Idarubicin 5mg/5ml solution for injection vials
36066311000001101,2018-10-30,319932001,"Factor XIII 1,250unit powder and solvent for solution for injection vials"
36071711000001102,2018-10-30,400299003,Edrophonium chloride 150mg/15ml solution for injection vials
39700011000001105,2021-05-26,326283008,Clindamycin 2% vaginal cream
36021011000001103,2018-10-29,326299002,Povidone-Iodine 10% vaginal cleansing solution
39721811000001102,2021-05-26,326298005,Povidone-Iodine 10% vaginal gel
38893611000001108,2020-08-19,703924000,Aclidinium bromide 375micrograms/dose dry powder inhaler
39711611000001106,2021-05-26,421136001,Fentanyl 40micrograms/dose transdermal system
35927711000001103,2018-10-22,404888003,Sodium hyaluronate 8.5mg/0.85ml solution for injection pre-filled syringes
35927611000001107,2018-10-22,404890002,Sodium hyaluronate 5.5mg/0.55ml solution for injection pre-filled syringes
36061211000001101,2018-10-30,385520008,Fulvestrant 250mg/5ml solution for injection pre-filled syringes
36138611000001108,2018-11-05,413831003,Choriogonadotropin alfa 250micrograms/0.5ml solution for injection pre-filled syringes
36093511000001101,2018-10-31,413942006,Darbepoetin alfa 500micrograms/1ml solution for injection pre-filled syringes
35905111000001100,2018-10-18,318202005,Atropine 1mg/5ml solution for injection pre-filled syringes
35905811000001107,2018-10-18,135910008,Atropine 600micrograms/1ml solution for injection pre-filled syringes
36051411000001106,2018-10-29,414343002,Glatiramer acetate 20mg/1ml solution for injection pre-filled syringes
36026711000001107,2018-10-29,408153008,Pegfilgrastim 6mg/0.6ml solution for injection pre-filled syringes
36060611000001109,2018-10-30,412648000,Fondaparinux sodium 5mg/0.4ml solution for injection pre-filled syringes
36060711000001100,2018-10-30,412649008,Fondaparinux sodium 7.5mg/0.6ml solution for injection pre-filled syringes
36060411000001106,2018-10-30,412650008,Fondaparinux sodium 10mg/0.8ml solution for injection pre-filled syringes
39716211000001101,2021-05-26,431853003,Ibandronic acid 3mg/3ml solution for injection pre-filled syringes
36034111000001102,2018-10-29,432723002,Methoxy polyethylene glycol-epoetin beta 50micrograms/0.3ml solution for injection pre-filled syringes
36033811000001106,2018-10-29,433012003,Methoxy polyethylene glycol-epoetin beta 150micrograms/0.3ml solution for injection pre-filled syringes
36033911000001101,2018-10-29,433013008,Methoxy polyethylene glycol-epoetin beta 200micrograms/0.3ml solution for injection pre-filled syringes
36034211000001108,2018-10-29,432724008,Methoxy polyethylene glycol-epoetin beta 75micrograms/0.3ml solution for injection pre-filled syringes
36034011000001103,2018-10-29,432413007,Methoxy polyethylene glycol-epoetin beta 250micrograms/0.3ml solution for injection pre-filled syringes
39711411000001108,2021-05-26,326452007,Etonogestrel 68mg implant
35897811000001107,2018-10-17,326691009,Alprostadil 1mg urethral sticks
35897311000001103,2018-10-17,326682005,Alprostadil 10microgram powder and solvent for solution for injection cartridges
35898111000001104,2018-10-17,326683000,Alprostadil 20microgram powder and solvent for solution for injection cartridges
39719411000001109,2021-05-26,326484000,Nonoxinol-9 5% pessaries
39705811000001105,2021-05-26,326218006,Clotrimazole 500mg pessaries
39705211000001109,2021-05-26,326216005,Clotrimazole 100mg pessaries
39705511000001107,2021-05-26,326217001,Clotrimazole 200mg pessaries
39709011000001102,2021-05-26,325631000,Progesterone 400mg pessaries
39719611000001107,2021-05-26,400432007,Nonoxinol-9 6% pessaries
39721911000001107,2021-05-26,326297000,Povidone-Iodine 200mg pessaries
39708911000001106,2021-05-26,325630004,Progesterone 200mg pessaries
14609211000001104,2008-10-30,347895003,Magnesium hydroxide oral suspension
32751811000001105,2016-05-19,329912003,Nabumetone 500mg/5ml oral suspension sugar free
35903211000001107,2018-10-17,318437005,Atenolol 25mg/5ml oral solution sugar free
39021911000001105,2020-09-23,323740008,Amoxicillin 250mg/5ml oral suspension sugar free
35901911000001104,2018-10-17,323730005,Amoxicillin 125mg/5ml oral suspension sugar free
39024611000001102,2020-09-23,322284000,Paracetamol 250mg/5ml oral suspension sugar free
39024711000001106,2020-09-23,322282001,Paracetamol 120mg/5ml oral suspension paediatric sugar free
39025411000001104,2020-09-23,322281008,Paracetamol 120mg/5ml oral solution paediatric sugar free
39025511000001100,2020-09-23,317248003,Ranitidine 75mg/5ml oral solution sugar free
39107211000001106,2020-10-21,324203007,Erythromycin ethyl succinate 500mg/5ml oral suspension sugar free
39107311000001103,2020-10-21,324192003,Erythromycin ethyl succinate 250mg/5ml oral suspension sugar free
35906111000001106,2018-10-18,330117007,Baclofen 5mg/5ml oral solution sugar free
35911911000001102,2018-10-19,320695005,Brompheniramine 2mg/5ml oral solution
36565911000001109,2019-01-17,321968009,Paroxetine 10mg/5ml oral suspension sugar free
35892311000001100,2018-10-17,324727008,Aciclovir 200mg/5ml oral suspension sugar free
35901411000001107,2018-10-17,321761009,Amitriptyline 25mg/5ml oral solution sugar free
35901611000001105,2018-10-17,321762002,Amitriptyline 50mg/5ml oral solution sugar free
35928211000001109,2018-10-22,322973000,Sodium valproate 200mg/5ml oral solution
35928311000001101,2018-10-22,322972005,Sodium valproate 200mg/5ml oral solution sugar free
36134011000001105,2018-11-05,323799008,Cefaclor 125mg/5ml oral suspension sugar free
36134111000001106,2018-11-05,323800007,Cefaclor 250mg/5ml oral suspension sugar free
36133211000001103,2018-11-05,329164005,Calcium glubionate 1.09g/5ml / Calcium lactobionate 727mg/5ml oral solution
39108111000001104,2020-10-21,329686007,Ibuprofen 100mg/5ml oral suspension sugar free
36021611000001105,2018-10-29,322146002,Prochlorperazine 5mg/5ml oral solution
35931311000001105,2018-10-22,321501009,Promazine 25mg/5ml oral solution
36138311000001103,2018-11-05,321369009,Chlorpromazine 25mg/5ml oral solution
35932811000001105,2018-10-22,135912000,Propranolol 5mg/5ml oral solution sugar free
35932311000001101,2018-10-22,135913005,Propranolol 10mg/5ml oral solution sugar free
35932711000001102,2018-10-22,135914004,Propranolol 50mg/5ml oral solution sugar free
35900111000001108,2018-10-17,318049002,Amiloride 5mg/5ml oral solution sugar free
36021911000001104,2018-10-29,323255003,Procyclidine 5mg/5ml oral solution sugar free
